ADDRESS,kWDC
2285 NW 17TH AV,3.85
6131 SW 85TH ST,4.80
5115 NE 63RD AV,26.20
4201 NW 95TH BLVD,73.71
619 S MAIN ST,25.20
3516 NW 29TH PL,4.46
4207 NW 6TH ST,25.20
3000 NW 83RD ST,25.43
2613 NW 24TH TER,5.60
5125 NE 63RD AV,11.07
4949 SW 41ST BLVD STE 40,23.65
6121 NW 1ST PL,19.50
8808 NW 59TH ST,5.25
328 SE 70TH ST,4.80
3509 NW 53RD TER,4.73
3800 SW 34TH ST,13.65
2401 NW 66TH CT,24.84
2707 SW 40TH BLVD,75.00
619 S MAIN ST,25.20
6905 SE 4TH AV,24.80
3000 NW 83RD ST,72.58
433 S MAIN ST,5.28
4613 NW 6TH ST,61.60
4615 NW 6TH ST,64.68
3638 SW ARCHER RD,258.72
3644 SW ARCHER RD,258.72
3720 SW ARCHER RD,535.92
4647 NW 6TH ST,58.52
4651 NW 6TH ST,58.52
4911 NW 6TH ST,1006.74
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
6716 NW 67TH AV,5.20
3800 SW 34TH ST,25.20
4202 NW 15TH PL,4.80
4831 SW 91ST DR,3.20
3800 SW 34TH ST,26.46
3800 SW 34TH ST,25.83
3800 SW 34TH ST,34.02
3800 SW 34TH ST,21.84
3800 SW 34TH ST,17.64
3800 SW 34TH ST,17.64
3800 SW 34TH ST,17.64
3800 SW 34TH ST,56.70
3800 SW 34TH ST,26.46
3800 SW 34TH ST,21.42
3800 SW 34TH ST,11.76
3800 SW 34TH ST,21.84
3800 SW 34TH ST,29.60
3800 SW 34TH ST,25.20
3800 SW 34TH ST,28.77
2020 W UNIVERSITY AV,50.00
5220 SW 91ST TER,4.10
4440 NW 25TH PL,23.76
2772 NW 43RD ST,70.84
3736 SW ARCHER RD,532.84
490 NW 60TH ST,104.72
3800 SW 34TH ST,20.30
3800 SW 34TH ST,23.99
3800 SW 34TH ST,20.91
3800 SW 34TH ST,18.45
3800 SW 34TH ST,19.68
3800 SW 34TH ST,21.12
3800 SW 34TH ST,19.07
6026 NW 1ST PL,10.40
2814 SW 13TH ST,69.30
3800 SW 34TH ST,15.99
3800 SW 34TH ST,18.45
3800 SW 34TH ST,19.68
3800 SW 34TH ST,15.99
8505 NW 39TH AV,49.68
3800 SW 34TH ST,20.91
8325 SW 16TH PL,2.66
4701 SW 34TH ST,75.00
4911 NW 6TH ST,1006.74
4440 NE 41ST TER,64.32
4050 NE 45TH AV,67.20
3720 NW 13TH ST,254.27
3720 NW 13TH ST,96.35
3910 SW ARCHER RD,77.00
3942 SW ARCHER RD,113.96
3145 NW 43RD ST,102.81
401 E UNIVERSITY AV,99.56
2124 NE WALDO RD,214.59
11914 NW 10TH RD,5.06
9075 SW 25TH RD,8.28
3580 N MAIN ST,10.12
3901 NW 21ST LN,5.52
5128 NW 76TH LN,4.07
7103 NW 43RD LN,9.99
8552 SW 12TH LN,5.52
3044 SW 70TH LN,10.12
1202 NE 8TH AV,10.12
2169 NW 100TH ST,9.99
4232 NW 38TH ST,9.86
6510 NW 13TH ST,9.84
5406 NW 52ND TER,5.06
6424 NW 85TH TER,6.44
6919 NW 20TH PL,9.99
8927 SW 42ND PL,6.90
1724 NW 51ST TER,8.14
6829 SE 14TH LN,5.06
3306 SE 27TH ST,8.14
2205 SE 23RD PL,8.88
10909 SW 17TH AV,9.99
4213 SW 80TH ST,9.99
3749 SW 42ND PL,9.84
2710 NW 27TH PL,2.30
4609 SW 97TH TER,6.11
219 SE 11TH ST,9.99
1410 SW 25TH PL,4.18
2404 NW 93RD ST,5.00
426 SW 43RD TER,6.11
1641 NW 10TH AV,9.99
3707 SW 100TH ST,6.90
8575 SW 12TH LN,6.90
2926 NW 14TH PL,5.98
2225 NW 38TH DR,5.52
2899 NW 4TH LN,5.52
3511 NW 18TH PL,5.06
5443 NW 45TH DR,5.52
2021 NW 47TH ST,5.00
104 SW 80TH BLVD,9.66
6725 NW 52ND TER,2.58
7613 NW 53RD WAY,8.17
5146 NW 22ND DR,5.06
2321 SW 34TH PL,9.88
2223 SW 8TH DR,10.12
2422 NW 15TH PL,5.06
427 SW 42ND ST,9.99
1168 SW 25TH PL,9.99
7847 NW 44TH ST,5.52
312 NW 32ND ST,5.06
2824 NW 23RD BLVD,5.06
2505 NW 93RD ST,8.74
2402 NW 27TH TER,5.06
2221 SE 20TH ST,10.12
8505 NW 2ND PL,4.60
2257 NW 31ST AV,9.99
6915 NW 4TH BLVD,25.20
3915 SW 19TH ST,5.17
2150 NE 31ST AV,500.08
2844 NW 58TH BLVD,9.90
4028 NW 10TH AV,6.08
3640 SW 20TH AV,30.24
3640 SW 20TH AV,26.04
2811 NW 37TH TER,4.56
3640 SW 20TH AV,30.24
525 NE 10TH AV,2.30
3540 NW 13TH ST,9.24
426 SW 40TH ST,8.25
3720 SW 97TH WAY,10.32
612 SW 5TH TER,8.28
6205 NW 46TH PL,10.12
2121 NW 67TH PL,664.58
1311 NW 76TH BLVD,286.94
10505 SW 15TH LN,7.84
1245 SE 7TH AV,50.40
408 W UNIVERSITY AV,32.20
3630 SW 47TH AV,51.66
5005 SW 75TH ST,51.98
4611 SW 94TH DR,10.12
1001 SE 12TH ST,51.98
312 NW 16TH AV,51.98
207 NW 23RD AV,43.60
4501 NW 23RD AV,6.72
1222 NW 58TH TER,8.28
2477 SE 30TH PL,8.36
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
5510 NW 27TH AV,156.24
9301 NW 23RD AV,156.20
3000 E UNIVERSITY AV,104.16
6825 NW 18TH DR,78.00
4340 NE 49TH AV,285.60
4800 SW 35TH DR,167.28
3215 NW 15TH AV,52.08
3215 NW 15TH AV,48.72
3215 NW 15TH AV,24.36
1532 NW 54TH DR,4.11
2650 NE 53RD AV,999.93
1126 NE 22ND CT,5.64
425 W UNIVERSITY AV,248.64
1201 SE 43RD ST,25.77
2001 SW 16TH ST,25.74
6110 NW 4TH PL,31.02
3100 SW 42ND WAY,25.74
5510 NW 27TH AV,52.47
5005 SW 75TH ST,104.80
6020 NW 4TH PL,25.74
5005 SW 75TH ST,52.40
1001 SE 12TH ST,52.47
1001 NW 53RD AV,25.74
1001 NW 53RD AV,25.74
1301 NW 76TH BLVD,102.24
7003 NW 39TH AV,25.74
200 SW 62ND BLVD,25.74
2826 NW 31ST AV,52.14
200 SW 62ND BLVD,25.74
200 SW 62ND BLVD,25.74
2826 NW 31ST AV,25.77
8100 NW 15TH PL,105.00
812 NW 34TH ST,36.60
812 NW 34TH ST,20.58
1245 SE 7TH AV,25.77
3362 NE 39TH AV,12.88
1245 SE 7TH AV,78.60
3880 NE 39TH AV,279.41
7510 NW 4TH BLVD,50.40
2650 NE 53RD AV,1000.16
3413 SW 47TH AV,239.40
932 NW 36TH TER,10.20
10205 SW 2ND PL,7.97
7015 NW 20TH PL,7.00
6408 NW 45TH PL,9.44
7070 NW 23RD WAY,47.09
5950 NW 1ST PL,72.57
2201 SW 120TH TER,10.20
309 NE 5TH AV,3.30
2033 SE 23RD PL,10.50
NW 53RD AV,1039.50
732 NW 40TH TER,10.20
2668 SW 103RD ST,9.75
5510 NW 27TH AV,52.20
7819 NW 22ND LN,6.00
5510 NW 27TH AV,52.20
1900 NW 13TH ST,52.20
2100 FT CLARKE BLVD,52.20
301 NW 62ND ST,102.60
4401 SE 4TH AV,26.10
2225 SW 63RD AV,525.00
ROCKY POINT RD,525.00
ROCKY POINT RD,525.00
901 NW 8TH AV,157.50
14 S MAIN ST,84.00
2340 N MAIN ST,157.50
623 SW 27TH ST,9.74
6931 NW 22ND ST,126.00
5589 NW 37TH ST,10.00
10000 W NEWBERRY RD,196.00
10000 W NEWBERRY RD,119.00
6409 NW 45TH PL,9.74
3310 NW 25TH AV,5.25
2844 NW 58TH BLVD,10.07
11525 NW 39TH AV,52.20
11525 NW 39TH AV,52.20
11525 NW 39TH AV,52.20
11525 NW 39TH AV,26.10
4601 SW 75TH ST,52.20
1901 NE 9TH ST,30.60
8417 NW 62ND LN,5.90
2562 NW 28TH ST,6.24
1201 SE 43RD ST,52.20
1201 SE 43RD ST,26.10
2106 NE 8TH AV,54.00
6120 SW 13TH ST,2.4
6208 NW 43RD ST,2.4
5005 SW 75TH ST,1.8
1338 NW 31ST TER,1.8
2420 NE 17TH TER,4.8
619 S MAIN ST,25.2
6220 NW 43RD ST,25.2
807 NW 57TH ST,25.2
6110 SW 13TH ST,10.08
124 SW 62ND ST,25.2
817 NW 56TH TER STE A,14.4
2614 NW 43RD ST,25.2
235 S MAIN ST,24.75
101 SE 2ND PL,47.52
2707 SW 40TH BLVD,50.4
220 SE 2ND AV,24.5
5700 SW 34TH ST,25.2
7920 NW 71ST ST,5
101 SE 2ND PL STE 202,8.635
220 SE 2ND AV,24.85
530 N WALDO RD,25.2
215 SE 2ND AV,24.75
101 SE 2ND PL STE 112,16.485
5401 NW 13TH ST STE B,25.83
3842 W NEWBERRY RD STE 2A,24.75
3842 W NEWBERRY RD STE 1A,124.99
4510 NW 6TH PL,21.384
1901 SW 13TH ST,24.84
301 SE 4TH AV,5.241
1214 NW 4TH ST,9.932
322 SW 4TH AV,2.1
1731 NW 6TH ST,41.8
229 NW 75TH ST,30.09
4700 SW 58TH DR,4.6
203 NE 1ST ST,35.99
2504 NW 71ST PL,73.5
502 NW 16TH AV,26.55
1025 NE 13TH ST,20.58
3842 W NEWBERRY RD STE 1A,100.24
2308 NW 71ST PL STE B,10
2308 NW 71ST PL STE A,11
2350 B NW 71ST PL,32.205
3300 SW 42ND ST,50.15
3480 NW 97TH BLVD BLDG S,7.965
3500 NW 97TH BLVD BLDG J,15.045
3500 NW 97TH BLVD BLDG A,35.515
3500 NW 97TH BLVD BLDG C,27.435
3500 NW 97TH BLVD BLDG K,23.01
3500 NW 97TH BLVD BLDG T,27.73
350 NW 76TH DR STE A,23.895
5331 NW 34TH BLVD,21.6
4500 SW 41ST BLVD,99.45
5220 SW 13TH ST,17.5
5220 SW 13TH ST,14
1601 SW ARCHER RD,138.6
20 N MAIN ST,52
3650 SW 42ND AV,15.9
201 SE 2ND AV STE 215,24.675
201 SE 2ND AV STE 201,24.675
926 NW 13TH ST,28.35
235 S MAIN ST,24.75
3000 NW 83RD ST,1.8
230 SW 2ND AV,25.009
1601 SW ARCHER RD,1277.1
6419 W NEWBERRY RD,242.11
6419 W NEWBERRY RD,252.34
6419 W NEWBERRY RD,136.4
5510 SW 41ST BLVD STE 101,19.95
6901 SW 24TH AV,378.24
315 SE 2ND AV,45.225
5221 NW 43RD ST,33.5
5706 SW 18TH ST,3.42
6124 SW 30TH AV,5.2
1014 NW 34TH ST,2.5
4715 NW 31ST AV,3
724 SW 21ST AV,3
2436 NW 37TH TER,5.01
6415 NW 97TH CT,3
2507 NW 24TH TER,4.725
3448 NW 12TH AV,5
518 NW 2ND ST,2.4
1034 NW 61ST TER,4.16
5920 NW 83RD TER,4.8
3501 NW 19TH PL,4.992
2616 NW 22ND TER,5.04
3511 NW 23RD PL,4.509
427 SW 42ND ST,4.992
3621 NW 41ST PL,3.15
3619 NW 30TH BLVD,4.992
1650 NW 34TH AV,3.15
1653 NW 34TH AV,4.2
1168 SW 25TH PL,11.13
6716 NW 43RD PL,6.93
6625 NW 79TH TER,16.8
2820 NW 5TH CT,4.8
1831 SW 112TH ST,14.8
318 SW 40TH ST,4.8
4235 NW 61ST TER,2.72
8847 SW 12TH RD,4.8
11 SW 42ND ST,4.2
9222 NW 25TH LN,5.04
3705 NW 53RD TER,3.06
3939 NW 46TH AV,2.8
6051 NW 19TH LN,5.1
1616 NW 75TH ST,5.1
2419 NW 15TH PL,4.8
7715 W NEWBERRY RD,5.04
6331 SW 84TH TER,3.22
4222 NW 73RD TER,5.04
1411 NW 49TH TER,5.04
3635 NW 24TH PL,3.348
10317 NW 10TH LN,5.06
9219 SW 12TH AV,5.16
9424 SW 1ST PL,3.6
3985 NW 30TH PL,5.7
2001 NE 8TH ST,5.04
9208 SW 1ST PL,5.6
4019 NW 17TH AV,2.8
3002 NW 29TH ST,5.25
5562 NW 93RD AV,5.25
3426 NW 68TH RD,5.04
3929 NW 23RD DR,4.725
1717 NW 51ST TER,4.62
5212 NW 16TH PL,2.9
1221 SW 21ST AV,5.04
211 NW 23RD DR,5.06
5315 NW 80TH AV,4.725
6422 NW 31ST TER,5.67
3012 NW 23RD TER,4.725
2802 NW 68TH AV,5.04
411 SW 113TH TER,5.19
1501 NW 35TH WAY,7.65
3119 NW 57TH TER,5.06
3514 NW 40TH ST,2.76
2521 NW 26TH PL,5.04
2504 NW 95TH ST,5.25
2312 NW 23RD TER,4.725
3705 NW 25TH AV,4.725
2676 NW 106TH WAY,5.06
3021 NW 23RD DR,4.752
4625 NW 43RD PL,5.04
11514 NW 15TH LN,4.752
9724 NW 59TH PL,5.25
8443 SW 14TH LN,5.04
4204 NW 78TH TER,5.184
1223 NW 114TH DR,4.752
6320 SW 30TH AV,2.7
4702 NW 13TH AV,5.04
4164 NW 38TH ST,5.062
1415 NE 7TH ST,5.4
7305 NW 21ST CT,3.3
2103 NW 23RD TER,5.25
6728 NW 34TH WAY,5.17
10519 NW 13TH LN,5.04
3632 SW 74TH DR,6.6
7005 NW 18TH AV,2.82
6308 NW 47TH PL,5.04
1125 NW 91ST TER,8.064
223 NW 91ST ST,10.2
9306 NW 26TH AV,6.84
4329 NW 10TH PL,3.42
4040 NW 33RD PL,4.8
3720 SW 97TH WAY,5.04
4123 NW 46TH AV,8.25
729 NW 22ND ST,6.45
3220 NW 14TH ST,4.8
6716 SW 35TH WAY,3.15
10 NW 80TH BLVD,7.35
2119 SW 44TH AV,6.84
402 SW 41ST ST,4.8
4474 NW 1ST AV,6.24
9345 SW 46TH PL,5.6
6717 NW 48TH LN,12.54
1478 SW 90TH ST,27.104
1017 NW 21ST TER,6.48
715 NW 39TH RD,1.92
8106 NW 54TH ST,6.72
1130 NE 10TH AV,3
3745 SW 5TH PL,6.24
8116 NW 5TH CT,5.76
7316 NW 21ST WAY,8.745
1801 SW 44TH AV,2.4
1715 NW 16TH DR,3.5
4714 NW 82ND RD,5.04
9515 SW 9TH PL,4
3713 SW 96TH ST,5.31
7823 NW 44TH ST,7.5
606 SE 4TH AV,3.54
10638 NW 9TH AV,6.86
7630 NW 51ST DR,4.9
1411 NW 51ST TER,7.5
4205 SW 91ST DR,3.92
1845 NE 7TH TER,5
4337 NW 60TH TER,6.12
6409 NW 45TH PL,4.72
1841 NW 35TH WAY,5.1
307 NE 4TH AV,6.885
2215 NW 24TH AV,8.1
2610 SW 3RD PL,5
1403 NW 120TH TER,6.867
9228 NW 15TH PL,7.2
820 NW 22ND TER,7.2
4300 NW 66TH TER,10.03
2050 NW 104TH WAY,9
2562 NW 28TH ST,2.43
610 NW 34TH AV,7.5
4411 NW 13TH AV,5
2610 NW 26TH PL,5.886
8001 SW 37TH PL,6.6
1511 NW 38TH ST,9.9
3505 NW 31ST ST,5.98
4959 NW 20TH TER,5.4
1909 NW 104TH WAY,9.66
2155 NW 7TH PL,7.02
621 SW 26TH PL,3.3
109 SE 4TH AV,6
2725 NW 32ND PL,3.92
3220 NW 19TH ST,5.565
1107 NE 2ND ST,9.24
4810 NW 51ST PL,6
2313 NW 23RD TER,6.24
556 NE 11TH ST,2.97
2298 NW 21ST PL,9.3
3547 SW 103RD ST,9.156
1040 NE 12TH AV,3
3432 NW 11TH AV,9.92
3008 SW 2ND CT,7.98
3301 NW 5TH ST,7.8
621 NW 91ST ST,
4511 NW 19TH AV,2.28
738 NE 2ND ST,2.97
1509 NW 98TH ST,35.88
7637 SW 49TH PL,9.66
825 NW 45TH TER,6.867
2142 NW 14TH AV,4.14
3619 NW 18TH PL,11.97
1900 SW 88TH ST,9.975
5589 NW 37TH ST,6.54
7409 NW 20TH PL,9.81
608 NE 5TH AV,5.2
8620 NW 13TH ST 152,3.1
11420 NW 10TH LN,6.867
3400 NW 10TH ST,5.13
5921 NW 30TH TER,4.845
2907 SW 4TH CT,6.555
1715 NW 22ND TER,6.72
3708 NW 22ND PL,6.84
2943 NW 25TH TER,10.26
6427 NW 81ST BLVD,8.7
6505 NW 81ST BLVD,8.25
1930 NW 7TH LN,7.44
5714 SW 36TH WAY,9.57
2504 NW 24TH TER,9.975
5851 SE HAWTHORE RD,7.02
2213 SW 122ND ST,8.1
11021 NW 18TH CT,10.05
6031 NW 93RD AV,35.97
6510 LAKESHORE DR,17.1
4121 NW 19TH TER,7.68
6914 SW 35TH WAY,13.92
5456 NW 81ST AV,9.6
1751 SE 41ST AV,6.54
4421 SW 85TH WAY,15.9
1515 SW 112TH ST,21.58
6218 NW 37TH TER,2.01
11925 SW 1ST LN,15.696
5503 NW 52ND AV,8.41
3126 NW 62ND TER,6.54
2438 SW 106TH ST,8.06
1100 SW 25TH PL,5.04
1368 NE 31ST AV,5.015
3716 NW 23 PL,6.03
8605 SW 26TH LN,20.1
2424 SE 30TH PL,6.03
9448 SW 30TH RD,6.867